,N,rho=10,rho=15,rho=20,rho=25,rho=30
0,0,-13.095238095238097,-13.445378151260506,-13.636363636363638,-13.756613756613758,-13.839285714285715
1,1,-476.74024890481087,-281.693226392825,-174.4148605451999,-106.54406936205493,-59.7362906691663
2,2,-158.35205813196114,-94.40111207038207,-58.87042004816189,-36.25922650880042,-20.60501220115361
3,-2,-158.35205813196114,-94.40111207038207,-58.87042004816189,-36.25922650880042,-20.60501220115361
4,-4,22.448235338093788,15.693061358929224,11.826859299186326,9.323114888833217,7.5695883449028045
5,-3,9.760154373860432,7.662624754219289,6.431356597797842,5.622003246154516,5.049531511216656
6,-1,9.760154373860432,7.662624754219289,6.431356597797842,5.622003246154516,5.049531511216656
7,3,4.023047518666265,3.4209834417745695,3.049786588034086,2.798845359972269,2.6180695245864882
8,-6,5.839918272801398,6.200576286027781,6.4220597700078255,6.573404045021445,6.68381353929406
9,5,-1.87778022404741,-2.0760099283856492,-2.226311949445543,-2.3444217442885833,-2.4396301188835565
10,8,756.5858736107365,445.37696801806516,273.85695737450897,165.22418709442215,90.25469647342614
