,N,rho=10,rho=15,rho=20,rho=25,rho=30
0,0,-13.095238095238097,-13.445378151260506,-13.636363636363638,-13.756613756613758,-13.839285714285715
1,0,1.3227513227513228,1.400560224089636,1.4430014430014428,1.4697236919459142,1.488095238095238
2,-7,-36.08013014510054,-4.5528498239526956,13.05966810966811,24.299469480094068,32.09433170008955
3,9,16.166395402096413,-1.7650612406794661,-11.96324855699856,-18.53727109559526,-23.126084329184724
4,23,-8.369750846437464,-18.76641026167598,-24.835569985569986,-28.80498168000966,-31.60157056089591
5,-18,13.700732265615173,19.357360220583335,22.801334776334777,25.10538346435809,26.752063869465026
6,-9,10.117644769523295,12.631978599962459,14.313001443001443,15.491000330252923,16.356950427573917
7,-15,17.079404163580904,18.255683111588187,19.20550144300144,19.927446628569715,20.483556068021187
8,-24,24.311873223112716,25.06954231756752,25.859668109668107,26.521403148985513,27.0602009545812
9,-4,9.360959476960018,8.578839909226696,8.418001443001444,8.443654307209682,8.531837012236688
10,-8,-34.51464153686374,-46.764264905449195,-54.664994588744584,-60.15921451919722,-64.20009466569645
