,N,rho=10,rho=15,rho=20,rho=25,rho=30
0,0,-13.095238095238097,-13.445378151260506,-13.636363636363638,-13.756613756613758,-13.839285714285715
1,0,1.3227513227513228,1.400560224089636,1.4430014430014428,1.4697236919459142,1.488095238095238
2,-2,2.298168653546571,3.022733080326034,3.426334776334776,3.68349248040154,3.8616526749688607
3,0,2.298168653546571,3.022733080326034,3.426334776334776,3.68349248040154,3.8616526749688607
4,6,-3.730409095535257,-4.039982958317605,-4.221284271284272,-4.340120915516066,-4.423973927923463
5,7,-4.61969036619759,-4.8975323279792615,-5.0653318903318905,-5.177273141756072,-5.257173870376778
6,18,-4.61969036619759,-4.8975323279792615,-5.0653318903318905,-5.177273141756072,-5.257173870376778
7,6,-13.701680629074561,-14.41276842451174,-14.84699855699856,-15.139168320097612,-15.349052973027003
8,-17,14.166885698229839,15.084880640947707,15.69300144300144,16.12568529895205,16.449361383689315
9,-25,18.090767828805575,19.339233964779552,20.268001443001445,20.987051523261165,21.56061866779602
10,6,1.5899663953632137,-0.17694680042059163,-1.421363636363632,-2.3589961992226263,-3.0947202835285608
